species	decimalLongitude	decimalLatitude
Nasua narica	-83.809111	9.209833
Sciurus variegatoides	-84.605568	9.779819
Sciurus variegatoides	-83.655125	9.891604
Ateles geoffroyi	-83.569374	10.421951
Tamandua mexicana	-84.137226	9.3856560000000009
Choloepus hoffmanni	-84.007954	10.427658
Alouatta palliata	-84.144158	9.389664
Ateles geoffroyi	-83.595927	8.547812
Sciurus granatensis	-83.9606	9.74332
Ateles geoffroyi	-83.785775	8.563419
Sciurus variegatoides	-83.885018	9.272738
Alouatta palliata	-85.397914	9.854537
Nasua narica	-83.842078	9.237255
Canis latrans	-85.027056	10.138265
Nasua narica	-84.142716	9.382325
Alouatta palliata	-84.75199	10.423566
Ateles geoffroyi	-83.523345	10.445126
Ateles geoffroyi	-83.511306	10.422988
Cebus imitator	-83.401742	10.370787
Sciurus variegatoides	-85.529036	9.882022
Sciurus granatensis	-83.798228	9.583392
Bradypus variegatus	-85.046197	10.727653
Ectophylla alba	-83.87648	10.329138
Cebus imitator	-83.279695	8.465525
Ateles geoffroyi	-83.47135	10.521449
Rhynchonycteris naso	-84.023423	10.483238
Cebus imitator	-84.155385	9.409262
Megaptera novaeangliae	-85.758668	10.949002
Nasua narica	-84.00599	10.430762
Tamandua mexicana	-83.447029	8.597751
Ateles geoffroyi	-83.812372	10.077818
Alouatta palliata	-85.284144	9.796579
Stenella attenuata	-83.296835	8.594925
Nasua narica	-83.877387	9.2641
Ateles geoffroyi	-83.442964	10.513461
Tamandua mexicana	-83.725564	8.642772
Nasua narica	-84.731491	10.44007
Tapirella bairdii	-85.315848	10.786518
Pecari tajacu	-84.039917	10.288043
Odocoileus virginianus	-87.055205	5.540673
Choloepus hoffmanni	-84.144486	9.39
Cebus imitator	-84.823143	10.318255
Bradypus variegatus	-84.155868	9.404313
Dasyprocta punctata	-84.709582	10.437399
Tapirella bairdii	-83.903676	10.097453
Odocoileus virginianus	-85.777183	10.47468
Bradypus variegatus	-84.511147	10.475572
Leopardus tigrinus	-84.735112	10.354884
Nasua narica	-85.226179	9.959143
Sciurus variegatoides	-85.526413	9.88273
Tapirella bairdii	-83.487759	8.420212
Cebus imitator	-84.65412	9.81174
Dasyprocta punctata	-84.005098	10.525747
Alouatta palliata	-85.137008	10.446291
Nasua narica	-84.16233	10.204558
Alouatta palliata	-83.589333	8.477675
Cebus imitator	-83.51064	10.527822
Stenella attenuata	-83.668272	8.756437
Nasua narica	-83.435588	8.439745
Ateles geoffroyi	-83.492581	10.474381
Bradypus variegatus	-84.005829	10.431326
Tamandua mexicana	-85.054458	9.668078
Ateles geoffroyi	-83.46979	10.591705
Nasua narica	-85.092885	9.587534
Nasua narica	-84.795624	10.30258
Sciurus variegatoides	-84.815103	10.313542
Alouatta palliata	-85.802573	10.390745
Ateles geoffroyi	-83.342104	8.29106
Tapirella bairdii	-85.122659	10.622515
Bradypus variegatus	-84.136988	9.392308
Bradypus variegatus	-83.50294	10.541503
Saimiri oerstedii	-83.505125	8.878986
Saccopteryx bilineata	-83.753428	9.748917
Tapirella bairdii	-83.474224	8.426984
Choloepus hoffmanni	-84.006565	10.430489
Sciurus variegatoides	-85.379818	10.751628
Choloepus hoffmanni	-84.005289	10.431412
Dasypus novemcinctus	-84.996766	10.701859
Sciurus variegatoides	-84.076593	10.06354
Bradypus variegatus	-83.882236	9.271629
Rhynchonycteris naso	-84.746367	10.95727
Cebus imitator	-85.339361	10.344595
Sciurus granatensis	-82.914952	9.631514
Saimiri oerstedii	-84.175706	9.472583
Sciurus variegatoides	-85.070747	9.64875
Rhynchonycteris naso	-85.409797	10.367642
Choloepus hoffmanni	-84.006971	10.430623
Dasyprocta punctata	-84.81918	10.304635
Pecari tajacu	-84.006668	10.431083
Sciurus variegatoides	-84.249706	9.983612
Saimiri oerstedii	-84.186709	9.405626
Pecari tajacu	-84.171258	10.167984
Choloepus hoffmanni	-84.004727	10.431248
Dasyprocta punctata	-83.282108	8.395065
Nasua narica	-85.353223	10.34761
Odocoileus virginianus	-84.332861	10.539152
Uroderma bilobatum	-85.725675	10.439573
Dasyprocta punctata	-83.279475	8.661464
Ateles geoffroyi	-84.726847	9.792996
Dasyprocta punctata	-84.158667	9.40794
Ateles geoffroyi	-83.228354	8.388225
Nasua narica	-85.698724	11.022941
Dasyprocta punctata	-83.814784	9.262233
Bradypus variegatus	-84.049139	9.936587
Choloepus hoffmanni	-84.120754	10.452019
Odocoileus virginianus	-83.879612	10.526405
Nasua narica	-83.28446	8.386883
Bradypus variegatus	-84.653013	10.468987
Bradypus variegatus	-84.147665	9.449647
Dasyprocta punctata	-85.339477	10.771157
Bradypus variegatus	-83.87884	9.276017
Pecari tajacu	-83.58905	8.473983
Dasypus novemcinctus	-83.682996	9.151551
Ectophylla alba	-84.056814	10.42127
Alouatta palliata	-85.09465	9.679922
Cebus imitator	-84.142865	9.3851
Bradypus variegatus	-84.642681	10.467834
Procyon lotor	-84.069683	10.451244
Alouatta palliata	-82.674065	9.603745
Odocoileus virginianus	-85.084272	9.619599
Bassaricyon gabbii	-84.771379	10.304516
Ateles geoffroyi	-83.493619	8.503742
Bradypus variegatus	-84.154577	9.41655
Dasyprocta punctata	-84.164835	9.433852
Saccopteryx bilineata	-84.205186	10.682411
Uroderma bilobatum	-84.069195	10.450873
Sciurus variegatoides	-84.81786	10.329223
Dasyprocta punctata	-83.883814	9.2691770000000009
Nasua narica	-83.30614	8.392369
Odocoileus virginianus	-84.116841	10.02211
Dasypus novemcinctus	-84.851397	10.228673
Ateles geoffroyi	-83.61563	9.279582
Ectophylla alba	-84.129052	10.496721
Cebus imitator	-84.140558	9.389641
Sciurus variegatoides	-84.81156	10.307246
Dasyprocta punctata	-83.51286	10.543042
Nasua narica	-84.804339	10.307049
Nasua narica	-84.708954	10.438035
Bradypus variegatus	-83.507423	10.541416
Cebus imitator	-85.646112	10.64306
